item_id,pedido_id,produto_id,quantidade,preco_unitario
1,1,4,1,180.0
2,1,2,5,1350.0
3,2,4,5,180.0
4,3,4,3,180.0
5,3,7,1,1200.0
6,4,7,1,1200.0
7,5,5,2,590.0
8,5,1,1,4200.0
9,6,2,2,1350.0
10,6,5,5,590.0
11,6,6,2,1650.0
12,7,7,2,1200.0
13,7,3,5,420.0
14,7,1,3,4200.0
15,8,7,3,1200.0
16,8,5,2,590.0
17,8,4,2,180.0
18,9,7,3,1200.0
19,9,5,5,590.0
20,9,4,1,180.0
21,9,8,1,350.0
22,10,3,3,420.0
23,10,5,5,590.0
24,10,1,5,4200.0
25,11,1,2,4200.0
26,11,8,1,350.0
27,11,3,2,420.0
28,11,6,5,1650.0
29,12,5,5,590.0
30,12,8,4,350.0
31,13,8,1,350.0
32,13,5,2,590.0
33,13,4,2,180.0
34,14,4,1,180.0
35,15,3,5,420.0
36,15,6,5,1650.0
37,16,7,1,1200.0
38,16,4,1,180.0
39,16,8,1,350.0
40,17,7,3,1200.0
41,17,2,4,1350.0
42,18,2,2,1350.0
43,19,5,4,590.0
44,19,7,5,1200.0
45,19,4,4,180.0
46,19,3,2,420.0
47,20,3,2,420.0
48,20,1,1,4200.0
49,20,5,5,590.0
50,20,7,1,1200.0
51,21,5,3,590.0
52,21,2,2,1350.0
53,21,6,3,1650.0
54,22,2,5,1350.0
55,23,5,1,590.0
56,23,8,5,350.0
57,23,6,3,1650.0
58,23,7,1,1200.0
59,24,4,3,180.0
60,24,6,5,1650.0
61,24,7,4,1200.0
62,25,3,2,420.0
63,25,6,4,1650.0
64,25,8,5,350.0
65,26,7,1,1200.0
66,26,2,3,1350.0
67,27,7,2,1200.0
68,27,5,2,590.0
69,27,6,2,1650.0
70,28,5,1,590.0
71,28,2,4,1350.0
72,29,1,2,4200.0
73,29,6,4,1650.0
74,30,1,2,4200.0
75,30,8,5,350.0
76,30,3,3,420.0
77,31,7,5,1200.0
78,32,6,1,1650.0
79,32,4,3,180.0
80,33,6,5,1650.0
81,33,4,2,180.0
82,33,8,2,350.0
83,33,3,4,420.0
84,34,5,5,590.0
85,34,2,5,1350.0
86,34,4,3,180.0
87,35,6,3,1650.0
88,35,1,2,4200.0
89,35,2,2,1350.0
90,36,7,4,1200.0
91,36,4,2,180.0
92,37,1,4,4200.0
93,37,5,2,590.0
94,37,2,4,1350.0
95,37,8,5,350.0
96,38,8,3,350.0
97,38,4,2,180.0
98,39,4,3,180.0
99,39,3,5,420.0
100,39,7,1,1200.0
101,40,8,2,350.0
102,40,4,4,180.0
103,40,1,4,4200.0
104,41,4,4,180.0
105,41,8,4,350.0
106,41,2,1,1350.0
107,41,3,4,420.0
108,42,7,5,1200.0
109,43,4,3,180.0
110,43,8,4,350.0
111,43,3,3,420.0
112,44,1,1,4200.0
113,45,8,3,350.0
114,45,6,3,1650.0
115,46,7,2,1200.0
116,46,4,1,180.0
117,46,6,5,1650.0
118,47,6,1,1650.0
119,47,1,4,4200.0
120,47,5,4,590.0
121,47,3,1,420.0
122,48,8,5,350.0
123,48,4,3,180.0
124,48,7,3,1200.0
125,49,6,2,1650.0
126,49,1,4,4200.0
127,49,4,2,180.0
128,49,3,3,420.0
129,50,7,5,1200.0
130,50,4,2,180.0
131,51,4,3,180.0
132,51,3,4,420.0
133,51,6,5,1650.0
134,51,5,5,590.0
135,52,2,2,1350.0
136,52,6,3,1650.0
137,53,2,3,1350.0
138,53,7,2,1200.0
139,53,8,3,350.0
140,54,8,1,350.0
141,54,1,5,4200.0
142,55,7,4,1200.0
143,56,2,4,1350.0
144,56,5,5,590.0
145,57,2,2,1350.0
146,58,7,4,1200.0
147,59,2,5,1350.0
148,59,6,2,1650.0
149,59,8,4,350.0
150,59,3,1,420.0
151,60,8,3,350.0
152,60,1,4,4200.0
153,60,4,3,180.0
154,61,4,5,180.0
155,62,5,4,590.0
156,62,2,1,1350.0
157,62,8,4,350.0
158,62,4,3,180.0
159,63,7,1,1200.0
160,63,8,4,350.0
161,63,5,1,590.0
162,64,4,5,180.0
163,65,5,4,590.0
164,65,4,1,180.0
165,66,2,1,1350.0
166,66,8,2,350.0
167,66,1,4,4200.0
168,66,4,3,180.0
169,67,3,1,420.0
170,67,7,3,1200.0
171,68,8,4,350.0
172,68,7,5,1200.0
173,68,2,4,1350.0
174,69,4,3,180.0
175,69,7,4,1200.0
176,69,8,4,350.0
177,69,1,4,4200.0
178,70,1,2,4200.0
179,70,6,1,1650.0
180,70,2,4,1350.0
181,70,4,3,180.0
182,71,1,3,4200.0
183,71,5,2,590.0
184,71,8,1,350.0
185,71,2,4,1350.0
186,72,1,3,4200.0
187,72,3,4,420.0
188,72,7,2,1200.0
189,73,8,2,350.0
190,73,5,2,590.0
191,74,2,3,1350.0
192,74,4,5,180.0
193,75,4,4,180.0
194,76,8,3,350.0
195,77,2,1,1350.0
196,77,6,3,1650.0
197,78,4,5,180.0
198,78,2,3,1350.0
199,79,3,2,420.0
200,80,8,3,350.0
201,81,4,4,180.0
202,81,6,3,1650.0
203,81,1,4,4200.0
204,82,7,3,1200.0
205,82,4,5,180.0
206,83,1,2,4200.0
207,83,6,4,1650.0
208,83,3,4,420.0
209,84,7,3,1200.0
210,85,1,3,4200.0
211,86,3,1,420.0
212,86,7,3,1200.0
213,86,5,2,590.0
214,87,6,2,1650.0
215,87,1,3,4200.0
216,88,8,5,350.0
217,89,1,4,4200.0
218,90,2,3,1350.0
219,90,8,5,350.0
220,91,4,4,180.0
221,92,6,4,1650.0
222,93,7,1,1200.0
223,94,1,3,4200.0
224,94,3,1,420.0
225,94,5,5,590.0
226,94,7,5,1200.0
227,95,4,5,180.0
228,95,7,5,1200.0
229,95,8,5,350.0
230,96,6,2,1650.0
231,96,1,5,4200.0
232,96,2,4,1350.0
233,97,6,3,1650.0
234,97,2,5,1350.0
235,97,3,5,420.0
236,97,8,1,350.0
237,98,8,3,350.0
238,98,5,2,590.0
239,98,4,5,180.0
240,98,6,1,1650.0
241,99,1,2,4200.0
242,100,7,5,1200.0
243,100,2,2,1350.0
244,100,8,5,350.0
245,100,4,5,180.0
246,101,7,3,1200.0
247,101,6,1,1650.0
248,101,8,4,350.0
249,101,4,1,180.0
250,102,7,4,1200.0
251,102,5,5,590.0
252,103,4,3,180.0
253,104,3,1,420.0
254,104,7,2,1200.0
255,105,8,4,350.0
256,106,1,1,4200.0
257,106,8,1,350.0
258,106,3,5,420.0
259,106,6,5,1650.0
260,107,1,1,4200.0
261,107,4,3,180.0
262,108,6,3,1650.0
263,108,3,4,420.0
264,109,5,2,590.0
265,109,3,3,420.0
266,109,6,1,1650.0
267,109,8,5,350.0
268,110,5,5,590.0
269,111,6,2,1650.0
270,111,1,2,4200.0
271,111,3,3,420.0
272,111,8,4,350.0
273,112,6,5,1650.0
274,113,4,3,180.0
275,113,8,4,350.0
276,113,5,2,590.0
277,114,7,4,1200.0
278,114,5,2,590.0
279,114,8,2,350.0
280,115,5,1,590.0
281,116,7,1,1200.0
282,117,6,2,1650.0
283,118,2,1,1350.0
284,119,4,4,180.0
285,120,5,1,590.0
286,120,4,5,180.0
287,121,6,1,1650.0
288,122,6,1,1650.0
289,123,3,4,420.0
290,123,7,4,1200.0
291,123,6,2,1650.0
292,124,6,3,1650.0
293,125,6,3,1650.0
294,126,8,1,350.0
295,126,3,4,420.0
296,126,5,1,590.0
297,126,7,4,1200.0
298,127,3,4,420.0
299,127,6,1,1650.0
300,127,4,3,180.0
301,127,8,5,350.0
302,128,1,5,4200.0
303,128,2,4,1350.0
304,129,8,3,350.0
305,129,3,4,420.0
306,130,3,4,420.0
307,131,8,2,350.0
308,131,2,1,1350.0
309,131,1,4,4200.0
310,132,5,2,590.0
311,132,7,3,1200.0
312,132,2,5,1350.0
313,133,8,2,350.0
314,133,7,5,1200.0
315,133,5,1,590.0
316,134,6,1,1650.0
317,134,8,4,350.0
318,135,2,5,1350.0
319,136,5,2,590.0
