pagamento_id,pedido_id,forma_pagamento,valor_pago,data_vencimento,data_pagamento,status_pagamento
1,1,PIX,6930.0,2025-04-25,2025-04-25,Pago
2,2,Boleto,855.0,2025-09-11,2025-09-13,Pago
3,3,Boleto,1740.0,2025-06-13,2025-06-13,Pago
4,4,Boleto,1164.0,2025-10-13,,Pendente
5,5,Boleto,4842.0,2025-08-15,2025-08-20,Pago
6,6,Cartão,8055.0,2026-01-22,2026-01-22,Pago
7,7,Transferência,17100.0,2025-12-06,2025-12-07,Pago
8,8,PIX,4626.0,2025-10-29,2025-10-29,Pago
9,9,PIX,7080.0,2025-06-28,2025-06-28,Pago
10,10,Cartão,25210.0,2026-03-29,2026-04-08,Pago
11,11,PIX,17840.0,2026-06-28,2026-06-29,Pago
12,12,Cartão,4219.5,2025-05-16,,Atrasado
13,13,Cartão,1701.0,2025-11-16,2025-11-18,Pago
14,14,PIX,162.0,2025-08-14,,Pendente
15,15,Transferência,10039.5,2025-10-01,2025-10-02,Pago
16,16,PIX,1678.1,2025-05-07,2025-05-17,Pago
17,17,PIX,8730.0,2025-07-23,,Pendente
18,18,Cartão,2565.0,2025-04-18,2025-04-19,Pago
19,19,PIX,9920.0,2025-03-09,2025-03-09,Pago
20,20,Cartão,8730.5,2025-11-25,2025-11-27,Pago
21,21,Boleto,9137.4,2025-03-12,2025-03-17,Pago
22,22,Boleto,6547.5,2025-11-27,2025-11-27,Pago
23,23,Cartão,8490.0,2025-09-15,2025-09-15,Pago
24,24,PIX,12231.0,2025-10-31,,Pendente
25,25,PIX,9190.0,2026-04-09,2026-04-09,Pago
26,26,PIX,5250.0,2025-06-17,,Cancelado
27,27,PIX,6880.0,2025-08-11,,Pendente
28,28,Cartão,5391.0,2025-12-07,,Pendente
29,29,Boleto,15000.0,2026-05-02,2026-05-02,Pago
30,30,Boleto,10839.5,2026-06-06,2026-06-07,Pago
31,31,Transferência,5700.0,2025-11-25,2025-11-30,Pago
32,32,PIX,1971.0,2026-07-02,,Cancelado
33,33,Cartão,9891.0,2025-12-04,,Cancelado
34,34,Cartão,10240.0,2025-12-05,2025-12-10,Pago
35,35,Transferência,16050.0,2026-05-07,2026-05-07,Pago
36,36,PIX,4644.0,2025-03-23,2025-03-23,Pago
37,37,Transferência,23873.5,2025-08-28,,Atrasado
38,38,Transferência,1367.7,2026-06-16,2026-06-18,Pago
39,39,Cartão,3840.0,2025-09-09,2025-09-10,Pago
40,40,Transferência,17673.4,2025-08-08,,Pendente
41,41,Transferência,4995.5,2025-01-22,2025-02-01,Pago
42,42,Cartão,5700.0,2025-06-19,2025-06-20,Pago
43,43,Transferência,3104.0,2025-08-05,2025-08-05,Pago
44,44,Cartão,3780.0,2025-03-02,2025-03-02,Pago
45,45,PIX,6000.0,2025-05-17,2025-05-22,Pago
46,46,Boleto,10830.0,2025-11-22,2025-12-02,Pago
47,47,Transferência,21230.0,2025-06-03,,Atrasado
48,48,PIX,5301.0,2025-06-13,,Pendente
49,49,Boleto,20634.0,2026-04-22,2026-04-24,Pago
50,50,Transferência,6360.0,2025-02-10,,Cancelado
51,51,Boleto,13420.0,2025-02-02,2025-02-07,Pago
52,52,Cartão,7650.0,2026-04-10,2026-04-20,Pago
53,53,Cartão,6750.0,2025-08-17,2025-08-22,Pago
54,54,Boleto,21350.0,2025-03-03,2025-03-04,Pago
55,55,PIX,4800.0,2025-02-22,2025-02-27,Pago
56,56,Transferência,8350.0,2025-06-09,2025-06-10,Pago
57,57,Cartão,2700.0,2025-11-08,2025-11-08,Pago
58,58,Boleto,4800.0,2025-07-27,,Cancelado
59,59,Cartão,11870.0,2025-09-02,2025-09-02,Pago
60,60,PIX,17470.5,2025-04-02,2025-04-04,Pago
61,61,Boleto,900.0,2025-11-27,,Atrasado
62,62,PIX,5367.5,2025-03-13,2025-03-18,Pago
63,63,Transferência,3094.3,2025-12-19,2025-12-19,Pago
64,64,Transferência,873.0,2025-01-17,,Cancelado
65,65,Cartão,2540.0,2026-03-29,,Atrasado
66,66,Transferência,19390.0,2025-06-27,2025-06-28,Pago
67,67,Boleto,3899.4,2026-05-13,,Cancelado
68,68,Transferência,11520.0,2025-10-16,2025-10-26,Pago
69,69,Cartão,23540.0,2025-12-03,2025-12-03,Pago
70,70,PIX,15990.0,2025-12-21,2025-12-22,Pago
71,71,PIX,17577.0,2026-01-25,2026-01-30,Pago
