pedido_id,cliente_id,data_pedido,status,canal_venda,desconto_percentual
1,11,2025-04-25,Concluído,Marketplace,0
2,2,2025-08-12,Concluído,Marketplace,0.05
3,1,2025-06-13,Concluído,Representante,0
4,10,2025-09-28,Concluído,Marketplace,0.03
5,10,2025-07-16,Concluído,Online,0.1
6,3,2026-01-15,Concluído,Online,0.1
7,11,2025-11-29,Concluído,Online,0
8,3,2025-09-29,Concluído,Online,0.1
9,3,2025-06-13,Concluído,Marketplace,0
10,5,2026-03-22,Concluído,Representante,0
11,9,2026-06-28,Concluído,Marketplace,0
12,9,2025-05-09,Concluído,Marketplace,0.03
13,12,2025-11-16,Concluído,Marketplace,0.1
14,10,2025-08-14,Concluído,Online,0.1
15,9,2025-09-01,Concluído,Marketplace,0.03
16,4,2025-04-07,Concluído,Marketplace,0.03
17,4,2025-07-16,Concluído,Marketplace,0.03
18,8,2025-04-11,Concluído,Marketplace,0.05
19,7,2025-03-02,Concluído,Representante,0
20,12,2025-11-18,Concluído,Online,0.05
21,10,2025-02-10,Em processamento,Online,0.03
22,8,2025-11-20,Concluído,Online,0.03
23,2,2025-09-08,Concluído,Representante,0
24,5,2025-10-16,Em processamento,Online,0.1
25,2,2026-03-10,Concluído,Online,0
26,12,2025-06-02,Cancelado,Online,0
27,6,2025-08-04,Concluído,Marketplace,0
28,3,2025-12-07,Concluído,Marketplace,0.1
29,4,2026-04-17,Concluído,Representante,0
30,6,2026-06-06,Concluído,Marketplace,0.05
31,12,2025-11-18,Concluído,Marketplace,0.05
32,1,2026-06-17,Cancelado,Marketplace,0.1
33,12,2025-11-04,Cancelado,Representante,0.1
34,10,2025-11-05,Concluído,Marketplace,0
35,9,2026-04-30,Concluído,Marketplace,0
36,10,2025-03-16,Concluído,Representante,0.1
37,7,2025-08-13,Concluído,Marketplace,0.05
38,10,2026-06-01,Concluído,Marketplace,0.03
39,11,2025-09-02,Concluído,Representante,0
40,12,2025-08-08,Concluído,Representante,0.03
41,8,2025-01-07,Concluído,Representante,0.03
42,12,2025-06-19,Concluído,Online,0.05
43,8,2025-07-06,Concluído,Representante,0.03
44,1,2025-02-23,Concluído,Online,0.1
45,4,2025-05-10,Concluído,Marketplace,0
46,3,2025-11-15,Concluído,Marketplace,0
47,11,2025-05-04,Em processamento,Online,0
48,12,2025-06-06,Concluído,Online,0.1
49,5,2026-04-07,Concluído,Representante,0.05
50,9,2025-01-11,Cancelado,Online,0
51,8,2025-01-18,Concluído,Representante,0
52,6,2026-04-10,Concluído,Representante,0
53,4,2025-08-10,Concluído,Representante,0.1
54,5,2025-02-16,Concluído,Marketplace,0
55,3,2025-02-22,Concluído,Representante,0
56,3,2025-06-02,Em processamento,Representante,0
57,8,2025-11-01,Em processamento,Representante,0
